source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/com.miui.screenrecorder.png,com.miui.screenrecorder,Screenrecorder,application icon,com.miui.screenrecorder -> media-record,hyperos icons/apps@2x/scalable/media-record.svg,mapped,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.Main.png,com.miui.securitycenter.Main,Main,application icon,com.miui.securitycenter.Main -> securitycenter-main,hyperos icons/apps/scalable/securitycenter-main.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.Main.png,com.miui.securitycenter.Main,Main,application icon,com.miui.securitycenter.Main -> securitycenter-main,hyperos icons/apps@2x/scalable/securitycenter-main.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.MainActivity.png,com.miui.securitycenter.MainActivity,Main Activity,application icon,com.miui.securitycenter.MainActivity -> securitycenter-mainactivity,hyperos icons/apps/scalable/securitycenter-mainactivity.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.MainActivity.png,com.miui.securitycenter.MainActivity,Main Activity,application icon,com.miui.securitycenter.MainActivity -> securitycenter-mainactivity,hyperos icons/apps@2x/scalable/securitycenter-mainactivity.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.png,com.miui.securitycenter,Securitycenter,application icon,com.miui.securitycenter -> securitycenter,hyperos icons/apps/scalable/securitycenter.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.securitycenter.png,com.miui.securitycenter,Securitycenter,application icon,com.miui.securitycenter -> securitycenter,hyperos icons/apps@2x/scalable/securitycenter.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.supermarket.png,com.miui.supermarket,Supermarket,application icon,com.miui.supermarket -> supermarket,hyperos icons/apps/scalable/supermarket.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.supermarket.png,com.miui.supermarket,Supermarket,application icon,com.miui.supermarket -> supermarket,hyperos icons/apps@2x/scalable/supermarket.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.miui.video.png,com.miui.video,Video,application icon,com.miui.video -> video-display,hyperos icons/apps/scalable/video-display.svg,mapped,exists-skip,alias-exists-skip
